@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
131,146,4,73,127,0.365,0.973333,0.666667,0.973333,0.333333,0.791328,0.625714,1.555556,0.137321
132,145,5,73,127,0.365,0.966667,0.665138,0.966667,0.334862,0.788043,0.622857,1.551988,0.138522
133,145,5,72,128,0.36,0.966667,0.668203,0.966667,0.331797,0.790191,0.62,1.55914,0.139648
134,145,5,71,129,0.355,0.966667,0.671296,0.966667,0.328704,0.79235,0.617143,1.566358,0.141134
135,145,5,70,130,0.35,0.966667,0.674419,0.966667,0.325581,0.794521,0.614286,1.573643,0.143037
136,145,5,69,131,0.345,0.966667,0.67757,0.966667,0.32243,0.796703,0.611429,1.580997,0.14399
137,145,5,68,132,0.34,0.966667,0.680751,0.966667,0.319249,0.798898,0.608571,1.588419,0.144451
138,145,5,67,133,0.335,0.966667,0.683962,0.966667,0.316038,0.801105,0.605714,1.595912,0.146399
139,145,5,66,134,0.33,0.966667,0.687204,0.966667,0.312796,0.803324,0.602857,1.603476,0.147342
140,145,5,65,135,0.325,0.966667,0.690476,0.966667,0.309524,0.805556,0.6,1.611111,0.147491
141,145,5,64,136,0.32,0.966667,0.69378,0.966667,0.30622,0.807799,0.597143,1.61882,0.147938
142,145,5,63,137,0.315,0.966667,0.697115,0.966667,0.302885,0.810056,0.594286,1.626603,0.148349
143,145,5,62,138,0.31,0.966667,0.700483,0.966667,0.299517,0.812325,0.591429,1.634461,0.153192
144,145,5,61,139,0.305,0.966667,0.703883,0.966667,0.296117,0.814607,0.588571,1.642395,0.155812
145,145,5,60,140,0.3,0.966667,0.707317,0.966667,0.292683,0.816901,0.585714,1.650407,0.162214
146,145,5,59,141,0.295,0.966667,0.710784,0.966667,0.289216,0.819209,0.582857,1.658497,0.166904
147,144,6,59,141,0.295,0.96,0.70936,0.96,0.29064,0.815864,0.58,1.655172,0.168047
148,144,6,58,142,0.29,0.96,0.712871,0.96,0.287129,0.818182,0.577143,1.663366,0.168277
149,144,6,57,143,0.285,0.96,0.716418,0.96,0.283582,0.820513,0.574286,1.671642,0.17042
150,143,7,57,143,0.285,0.953333,0.715,0.953333,0.285,0.817143,0.571429,1.668333,0.170885
151,142,8,57,143,0.285,0.946667,0.713568,0.946667,0.286432,0.813754,0.568571,1.664992,0.173613
152,141,9,57,143,0.285,0.94,0.712121,0.94,0.287879,0.810345,0.565714,1.661616,0.174639
153,141,9,56,144,0.28,0.94,0.715736,0.94,0.284264,0.81268,0.562857,1.670051,0.179865
154,141,9,55,145,0.275,0.94,0.719388,0.94,0.280612,0.815029,0.56,1.678571,0.184193
